ECM Annual Exudation (g C/m2/year),AM Annual Exudation (g C/m2/year),Total Exudation (g C/m2/yr)
30.20691244,1.899457864,32.1063703
3.236518719,4.626101923,7.862620642
4.274831691,1.994167517,6.268999209
21.69416626,4.52889264,26.2230589
2.191419363,9.709600511,11.90101987
8.643918528,5.33786053,13.98177906
4.22846912,6.694488493,10.92295761
35.60213044,0,35.60213044
21.86421557,0.20706555,22.07128112
13.7129254,0.48401056,14.19693596
9.908127721,4.085789067,13.99391679
26.02957298,1.155753241,27.18532622
7.628025802,3.77941868,11.40744448
0,7.407488044,7.407488044
2.050020627,7.930840168,9.980860795
15.48112091,4.727912438,20.20903334
7.997237627,8.318280118,16.31551774
10.51869103,3.320127111,13.83881814
10.73221801,8.346149346,19.07836736
0,4.414296095,4.414296095
0,12.61002851,12.61002851
3.673800859,10.84009913,14.51389999
0.8491876,16.77213477,17.62132237
0.524155239,14.2135183,14.73767354
27.17511056,0,27.17511056
22.26985347,3.327466626,25.5973201
12.54105968,1.854314306,14.39537399
16.18769361,0.566808677,16.75450228
25.24815499,1.405102313,26.65325731
15.22025335,1.706993108,16.92724646
45.50440555,0.200960316,45.70536587
27.05776151,2.949255837,30.00701735
14.26079195,7.009268798,21.27006074
10.62752506,4.95763735,15.58516241
40.31754907,1.738664532,42.0562136
35.25221994,1.955991645,37.20821158
36.27139737,0.241249896,36.51264727
21.72346626,5.09836453,26.82183079
9.445162542,11.17527285,20.62043539
19.51215607,2.823277774,22.33543384
22.85017813,4.060572493,26.91075062
22.21318993,3.079200394,25.29239032
6.059765514,7.526142012,13.58590753
10.68010048,8.52146311,19.20156359
29.07490062,0.891092268,29.96599289
